Team,Name,Number,Sets Played,Matches Played,Kills,Kills/Set,Errors,Total Attempts,Hitting Percentage,Assists,Assists/Set,Service Aces,Service Aces/Set,Digs,Digs/Set,Receptions,Reception Errors,Block Solo,Block Assist,Total Blocks,Blocks/Set,Points,Points/Set
Sage,Deshawn Fleary,3,9,3,2,0.22,1,7,.143,22,2.44,1,0.11,3,0.33,1,1,0,4,4,0.44,5.0,0.6
Sage,Andrew Samson,4,12,4,5,0.42,8,22,-.136,0,0.00,1,0.08,2,0.17,1,0,0,8,8,0.67,10.0,0.8
Sage,Elijah Tortorici,5,3,2,0,0.00,1,1,-1.000,0,0.00,0,0.00,2,0.67,0,0,0,0,0,0.00,0.0,0.0
Sage,Dylan Fox,6,14,4,49,3.50,27,112,.196,3,0.21,7,0.50,24,1.71,58,1,0,7,7,0.50,59.5,4.3
Sage,Connor (CJ) Murphy,7,13,4,1,0.08,0,12,.083,85,6.54,3,0.23,14,1.08,1,0,0,3,3,0.23,5.5,0.4
Sage,Spencer Cooper,8,8,3,2,0.25,3,12,-.083,0,0.00,1,0.13,5,0.63,0,0,0,0,0,0.00,3.0,0.4
Sage,Jack McWilliam,9,13,4,1,0.08,1,2,.000,3,0.23,0,0.00,17,1.31,94,5,0,0,0,0.00,1.0,0.1
Sage,Alexander Bergman,10,13,4,1,0.08,1,8,.000,0,0.00,8,0.62,0,0.00,0,0,0,5,5,0.38,11.5,0.9
Sage,Carlo Rossi A. Occeño,11,10,3,0,0.00,0,0,-,0,0.00,0,0.00,12,1.20,14,3,0,0,0,0.00,0.0,0.0
Sage,Michael Bruyette,12,13,4,10,0.77,5,21,.238,2,0.15,2,0.15,5,0.38,0,0,1,7,8,0.62,16.5,1.3
Sage,Marcus Gentile,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sage,Wylkins Occelin,16,14,4,22,1.57,17,75,.067,1,0.07,1,0.07,9,0.64,46,5,0,5,5,0.36,25.5,1.8
Sage,Jarod Martel,17,14,4,40,2.86,20,95,.211,2,0.14,4,0.29,30,2.14,37,6,0,1,1,0.07,44.5,3.2
