Number,Name,Sets,Kills,Errors,Total Attempts,Hit Percentage,Assists,Service Aces,Service Errors,Reception Errors,Digs,Block Solo,Block Assists,Block Errors,Ball Handling Errors,Points,Team
10,carter Shavitz,3.0,4.0,6.0,22.0,-0.091,0.0,1.0,2.0,0.0,4.0,1.0,1.0,2.0,0.0,6.5,Loras
1,seth Thomas,3.0,8.0,8.0,27.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,3.0,0.0,0.0,9.5,Loras
9,antonio Llona baez,1.0,1.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Loras
21,jackson Phillips,3.0,0.0,1.0,5.0,-0.2,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,Loras
4,dixon Seymour,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Loras
15,james Zippay,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Loras
23,dorian Fiorenza,3.0,11.0,4.0,31.0,0.226,1.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,14.0,MSOE
8,joe Horn,3.0,1.0,1.0,5.0,0.0,31.0,1.0,2.0,0.0,7.0,0.0,1.0,0.0,0.0,2.5,MSOE
11,tyler Kratochvil,3.0,4.0,4.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,5.0,MSOE
25,corey Mayotte,3.0,10.0,5.0,23.0,0.217,0.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,10.0,MSOE
18,roman Rothermel,3.0,6.0,0.0,10.0,0.6,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,7.5,MSOE
13,sean Wenzel,3.0,4.0,1.0,7.0,0.429,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,6.0,MSOE
4,hayden Dal degan,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MSOE
29,ryan Floyd,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,MSOE
7,brady Oberfoell,3.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,MSOE
2,anthony Schwarz,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,MSOE
25,colten Farrell,1.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,3.5,North Park
8,aaron Hanny,3.0,4.0,1.0,8.0,0.375,0.0,0.0,2.0,0.0,1.0,0.0,3.0,2.0,0.0,5.5,North Park
6,paul Henderson,2.0,2.0,1.0,11.0,0.091,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.5,North Park
14,riley Laite,2.0,3.0,2.0,6.0,0.167,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,North Park
11,eli Sherman,2.0,1.0,0.0,2.0,0.5,16.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,North Park
13,jackson Van engen,3.0,8.0,2.0,14.0,0.429,0.0,1.0,2.0,0.0,1.0,1.0,5.0,1.0,0.0,12.5,North Park
5,zachary Baus,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,North Park
9,grant Couper,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,North Park
4,alec Donald,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,North Park
10,bryan Evans,3.0,8.0,0.0,9.0,0.889,0.0,0.0,2.0,0.0,6.0,0.0,0.0,1.0,0.0,8.0,North Park
2,elijah Johnson,2.0,2.0,0.0,2.0,1.0,18.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,North Park
