Team,Name,Number,Sets Played,Matches Played,Kills,Kills/Set,Errors,Total Attempts,Hitting Percentage,Assists,Assists/Set,Service Aces,Service Aces/Set,Digs,Digs/Set,Receptions,Reception Errors,Block Solo,Block Assist,Total Blocks,Blocks/Set
Eastern Mennonite,Carter Neo,3,40,13,0,0.00,1,10,-.100,3,0.08,2,0.05,45,1.13,8,121,0,0,0,0.00
Eastern Mennonite,Starks Jamaury,4,84,25,2,0.02,1,5,.200,20,0.24,0,0.00,193,2.30,33,448,0,0,0,0.00
Eastern Mennonite,McGhee Nate,5,91,25,279,3.07,112,679,.246,27,0.30,28,0.31,167,1.84,19,467,4,27,31.0,0.34
Eastern Mennonite,Wright Delan,7,53,24,9,0.17,15,47,-.128,1,0.02,2,0.04,6,0.11,0,4,0,5,5.0,0.09
Eastern Mennonite,Childers Ben,10,87,25,136,1.56,45,321,.283,5,0.06,22,0.25,60,0.69,0,11,5,57,62.0,0.71
Eastern Mennonite,Ward David,11,92,25,272,2.96,132,681,.206,10,0.11,19,0.21,113,1.23,12,153,6,36,42.0,0.46
Eastern Mennonite,Oaks Tyler,12,92,25,30,0.33,9,94,.223,782,8.50,18,0.20,113,1.23,1,15,3,38,41.0,0.45
Eastern Mennonite,Spurlock Walter,13,91,25,157,1.73,97,464,.129,14,0.15,14,0.15,138,1.52,20,386,9,20,29.0,0.32
Eastern Mennonite,Bagby AJ,20,84,24,49,0.58,37,147,.082,1,0.01,5,0.06,7,0.08,1,2,6,52,58.0,0.69
MIT,Yurkanin Jack,1,61,18,209,3.43,79,476,.273,6,0.10,21,0.34,103,1.69,17,270,0,24,24.0,0.39
MIT,Kravitz Samuel,2,30,9,0,0.00,0,0,0,0,0.00,0,0.00,5,0.17,1,11,0,0,0,0.00
MIT,Levandoske Nathan,3,11,6,18,1.64,8,44,.227,1,0.09,7,0.64,18,1.64,0,0,0,5,5.0,0.45
MIT,Luo Albert,4,7,6,3,0.43,3,7,.000,43,6.14,1,0.14,6,0.86,0,0,0,2,2.0,0.29
MIT,Fine Seth,6,9,6,0,0.00,1,2,-.500,65,7.22,4,0.44,15,1.67,2,3,0,3,3.0,0.33
MIT,Oliveira Troy,8,19,8,37,1.95,17,85,.235,1,0.05,4,0.21,26,1.37,3,44,1,7,8.0,0.42
MIT,Oh Grant,9,61,19,180,2.95,71,460,.237,18,0.30,13,0.21,78,1.28,15,286,3,16,19.0,0.31
MIT,Ogeka Tommy,10,73,21,1,0.01,2,12,-.083,42,0.58,0,0.00,139,1.90,32,508,0,0,0,0.00
MIT,Liu Robin,11,8,7,2,0.25,0,4,.500,30,3.75,1,0.13,7,0.88,0,0,0,1,1.0,0.13
MIT,Gustafson Nick,12,19,7,55,2.89,29,117,.222,3,0.16,3,0.16,18,0.95,1,20,2,2,4.0,0.21
MIT,Allen Brett,13,37,14,112,3.03,54,264,.220,6,0.16,7,0.19,42,1.14,14,160,0,6,6.0,0.16
MIT,Sheres Ben,14,2,2,1,0.50,0,1,1.000,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0.00
MIT,Albright Bradley,15,68,22,73,1.07,27,191,.241,6,0.09,23,0.34,77,1.13,7,49,0,16,16.0,0.24
MIT,Ryan Dylan,16,60,17,102,1.70,25,180,.428,9,0.15,10,0.17,14,0.23,0,3,11,51,62.0,1.03
MIT,Turner Max,17,27,12,5,0.19,0,21,.238,250,9.26,1,0.04,36,1.33,0,0,1,12,13.0,0.48
MIT,Li Justin,18,5,4,5,1.00,4,11,.091,0,0.00,1,0.20,0,0.00,0,0,0,2,2.0,0.40
MIT,Kordonowy Kael,19,9,5,7,0.78,0,17,.412,0,0.00,0,0.00,0,0.00,0,0,1,4,5.0,0.56
MIT,Roberson Jack,21,33,14,32,0.97,8,60,.400,3,0.09,16,0.48,4,0.12,0,0,2,22,24.0,0.73
MIT,Oh Riley,22,41,14,8,0.20,9,35,-.029,350,8.54,8,0.20,87,2.12,0,1,3,22,25.0,0.61
MIT,Johnson Phillip,23,58,19,59,1.02,18,118,.347,1,0.02,7,0.12,8,0.14,0,1,2,29,31.0,0.53
Nazareth,Allen Nate,1,66,23,67,1.02,38,163,.178,2,0.03,6,0.09,39,0.59,3,64,3,7,10.0,0.15
Nazareth,Martin Jack,2,21,11,0,0.00,0,0,0,0,0.00,3,0.14,1,0.05,0,0,0,0,0,0.00
Nazareth,Terzo Seth,3,97,26,2,0.02,2,10,.000,60,0.62,0,0.00,235,2.42,11,629,0,0,0,0.00
Nazareth,Wickens Owen,4,97,26,417,4.30,163,931,.273,128,1.32,57,0.59,189,1.95,9,396,7,32,39.0,0.40
Nazareth,Caviness Trent,5,87,24,94,1.08,37,214,.266,673,7.74,35,0.40,168,1.93,4,40,7,21,28.0,0.32
Nazareth,Bertino Alex,6,88,26,187,2.13,77,438,.251,11,0.13,23,0.26,74,0.84,14,335,2,14,16.0,0.18
Nazareth,Camblin Jackson,7,59,19,0,0.00,1,2,-.500,3,0.05,6,0.10,13,0.22,0,4,0,0,0,0.00
Nazareth,Caimano Anthony,8,10,7,10,1.00,5,20,.250,0,0.00,0,0.00,2,0.20,0,1,1,4,5.0,0.50
Nazareth,Stuver Max,9,94,26,170,1.81,67,392,.263,263,2.80,7,0.07,136,1.45,8,76,13,49,62.0,0.66
Nazareth,Cardone Nick,10,17,9,0,0.00,0,1,.000,1,0.06,2,0.12,4,0.24,0,0,0,0,0,0.00
Nazareth,Donahue Colin,11,79,23,85,1.08,26,190,.311,7,0.09,0,0.00,13,0.16,1,4,9,50,59.0,0.75
Nazareth,Sweet Gavin,12,4,3,0,0.00,0,0,0,0,0.00,2,0.50,1,0.25,0,2,0,0,0,0.00
Nazareth,Jackson Jonathon,13,66,22,5,0.08,3,22,.091,3,0.05,5,0.08,41,0.62,1,12,0,1,1.0,0.02
Nazareth,Bodensteiner Andrew,14,86,24,87,1.01,37,220,.227,5,0.06,9,0.10,3,0.03,1,2,8,42,50.0,0.58
Nazareth,DeJoy Nathan,15,39,19,43,1.10,17,93,.280,1,0.03,0,0.00,5,0.13,0,2,3,24,27.0,0.69
Nazareth,Weaver Josh,16,55,19,46,0.84,31,125,.120,5,0.09,0,0.00,17,0.31,0,6,1,9,10.0,0.18
Nazareth,Cote Christopher,17,6,6,8,1.33,3,18,.278,1,0.17,0,0.00,5,0.83,0,0,0,2,2.0,0.33
Nazareth,Burda AJ,19,18,10,6,0.33,2,12,.333,15,0.83,3,0.17,10,0.56,0,2,0,0,0,0.00
